7.77286,-3.65358,09K95A,Low
8.3217,2.91703,0VM1CI,Mid
9.11238,1.64266,1RGWDX,Mid
9.61209,-9.70828,1T56G4,Low
-24.0454,9.08506,26QQrO,Low
17.2113,-14.7957,4XSG4Y,Mid
-2.0975,4.70172,5MKWBH,Low
-26.1344,-8.97674,6LVPX8,Mid
5.16617,-0.626998,9XELA5,High
19.851,-20.135,9XNMJT,High
6.35829,-0.0338846,DLODDN,High
-1.45884,2.0618,DZVZH0,High
2.83139,5.96472,EPJUNL,Mid
-13.6192,19.7194,EUQG8X,Mid
-11.0302,13.1678,F80LGF,Low
2.54927,4.65513,F9HJUU,Low
-18.379,0.333898,FMFSCB,High
-12.1801,11.4927,G7E225,High
-3.29683,-22.8191,H6CSMA,Mid
13.2464,-12.4239,I5N225,Mid
9.26992,-3.79732,J1O0BL,Low
-5.68606,11.2471,J3UYDR,Low
18.8816,-17.5312,JDWAOR,Low
-22.1816,10.4923,LYDUBY,High
-0.168061,-5.4713,MKBDBY,Low
4.22071,3.84601,N5IZ3L,Low
4.75837,3.47186,NDBDKD,High
7.10743,-5.44451,O3VQFQ,Mid
-0.7066,8.92116,QBC0SD,High
-8.21117,12.1293,T80OF8,High
8.87146,-9.14266,U6GTOL,Low
-7.91772,2.24365,UMKISW,Mid
-13.3692,17.2095,VSTPH2,High
1.77407,11.3857,W5FDMV,Mid
11.6717,-12.3608,XAD1I4,Low
-14.8841,-3.28683,XXN4TH,Low
5.54127,-4.3704,XYBF9C,Mid
11.4316,-4.56877,Y45ETC,High
-18.5095,16.4706,YP7H46,Mid
13.3041,-14.6592,ZIBR7F,Mid
5.01052,0.647023,ZP6YP4,High
