-0.367199,09K95A,Low
-0.64575,0VM1CI,Mid
8.44295,1RGWDX,Mid
-17.0728,1T56G4,Low
-3.66158,26QQrO,Low
-5.861,4XSG4Y,Mid
-1.65731,5MKWBH,Low
-0.695346,6LVPX8,Mid
12.3608,9XELA5,High
10.7769,9XNMJT,High
7.57925,DLODDN,High
4.40986,DZVZH0,High
-2.13456,EPJUNL,Mid
8.59238,EUQG8X,Mid
2.47433,F80LGF,Low
-5.16137,F9HJUU,Low
2.72909,FMFSCB,High
5.51781,G7E225,High
-22.4727,H6CSMA,Mid
-12.0037,I5N225,Mid
-10.5045,J1O0BL,Low
-4.74191,J3UYDR,Low
-4.13914,JDWAOR,Low
1.15261,LYDUBY,High
-0.928897,MKBDBY,Low
-5.68137,N5IZ3L,Low
8.10784,NDBDKD,High
-8.69727,O3VQFQ,Mid
11.0408,QBC0SD,High
7.2511,T80OF8,High
1.04027,U6GTOL,Low
-2.78898,UMKISW,Mid
4.54664,VSTPH2,High
3.82228,W5FDMV,Mid
-12.0763,XAD1I4,Low
-0.158409,XXN4TH,Low
9.16212,XYBF9C,Mid
8.95631,Y45ETC,High
3.36085,YP7H46,Mid
-13.5136,ZIBR7F,Mid
10.8346,ZP6YP4,High
