"K00001","alcohol dehydrogenase [EC:1.1.1.1]"
"K00003","homoserine dehydrogenase [EC:1.1.1.3]"
"K00010","myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]"
"K00012","UDPglucose 6-dehydrogenase [EC:1.1.1.22]"
"K00013","histidinol dehydrogenase [EC:1.1.1.23]"
"K00014","shikimate dehydrogenase [EC:1.1.1.25]"
"K00018","glycerate dehydrogenase [EC:1.1.1.29]"
"K00024","malate dehydrogenase [EC:1.1.1.37]"
"K00033","6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
"K00052","3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
"K00053","ketol-acid reductoisomerase [EC:1.1.1.86]"
"K00057","glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]"
"K00058","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]"
"K00059","3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
"K00067","dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]"
"K00075","UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]"
"K00088","IMP dehydrogenase [EC:1.1.1.205]"
"K00099","1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]"
"K00133","aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]"
"K00134","glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
"K00215","4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]"
"K00239","succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
"K00240","succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
"K00241","succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
"K00244","fumarate reductase flavoprotein subunit [EC:1.3.5.4]"
"K00262","glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
"K00266","glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]"
"K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]"
"K00287","dihydrofolate reductase [EC:1.5.1.3]"
"K00297","methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]"
"K00355","NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]"
"K00368","nitrite reductase (NO-forming) [EC:1.7.2.1]"
"K00382","dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
"K00384","thioredoxin reductase (NADPH) [EC:1.8.1.9]"
"K00432","glutathione peroxidase [EC:1.11.1.9]"
"K00525","ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]"
"K00526","ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]"
"K00548","5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]"
"K00549","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]"
"K00558","DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"
"K00560","thymidylate synthase [EC:2.1.1.45]"
"K00566","tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]"
"K00588","caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]"
"K00600","glycine hydroxymethyltransferase [EC:2.1.2.1]"
"K00602","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]"
"K00604","methionyl-tRNA formyltransferase [EC:2.1.2.9]"
"K00609","aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]"
"K00611","ornithine carbamoyltransferase [EC:2.1.3.3]"
"K00615","transketolase [EC:2.2.1.1]"
"K00616","transaldolase [EC:2.2.1.2]"
"K00640","serine O-acetyltransferase [EC:2.3.1.30]"
"K00645","[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]"
"K00647","3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]"
"K00648","3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]"
"K00655","1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]"
"K00656","formate C-acetyltransferase [EC:2.3.1.54]"
"K00677","UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]"
"K00688","glycogen phosphorylase [EC:2.4.1.1]"
"K00700","1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
"K00705","4-alpha-glucanotransferase [EC:2.4.1.25]"
"K00721","dolichol-phosphate mannosyltransferase [EC:2.4.1.83]"
"K00748","lipid-A-disaccharide synthase [EC:2.4.1.182]"
"K00759","adenine phosphoribosyltransferase [EC:2.4.2.7]"
"K00760","hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]"
"K00761","uracil phosphoribosyltransferase [EC:2.4.2.9]"
"K00762","orotate phosphoribosyltransferase [EC:2.4.2.10]"
"K00763","nicotinate phosphoribosyltransferase [EC:6.3.4.21]"
"K00764","amidophosphoribosyltransferase [EC:2.4.2.14]"
"K00788","thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]"
"K00789","S-adenosylmethionine synthetase [EC:2.5.1.6]"
"K00790","UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]"
"K00791","tRNA dimethylallyltransferase [EC:2.5.1.75]"
"K00793","riboflavin synthase [EC:2.5.1.9]"
"K00794","6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"
"K00796","dihydropteroate synthase [EC:2.5.1.15]"
"K00797","spermidine synthase [EC:2.5.1.16]"
"K00800","3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]"
"K00806","undecaprenyl diphosphate synthase [EC:2.5.1.31]"
"K00812","aspartate aminotransferase [EC:2.6.1.1]"
"K00817","histidinol-phosphate aminotransferase [EC:2.6.1.9]"
"K00820","glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]"
"K00826","branched-chain amino acid aminotransferase [EC:2.6.1.42]"
"K00831","phosphoserine aminotransferase [EC:2.6.1.52]"
"K00845","glucokinase [EC:2.7.1.2]"
"K00847","fructokinase [EC:2.7.1.4]"
"K00849","galactokinase [EC:2.7.1.6]"
"K00850","6-phosphofructokinase 1 [EC:2.7.1.11]"
"K00852","ribokinase [EC:2.7.1.15]"
"K00858","NAD+ kinase [EC:2.7.1.23]"
"K00859","dephospho-CoA kinase [EC:2.7.1.24]"
"K00868","pyridoxine kinase [EC:2.7.1.35]"
"K00873","pyruvate kinase [EC:2.7.1.40]"
"K00876","uridine kinase [EC:2.7.1.48]"
"K00891","shikimate kinase [EC:2.7.1.71]"
"K00912","tetraacyldisaccharide 4-kinase [EC:2.7.1.130]"
"K00919","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]"
"K00925","acetate kinase [EC:2.7.2.1]"
"K00927","phosphoglycerate kinase [EC:2.7.2.3]"
"K00928","aspartate kinase [EC:2.7.2.4]"
"K00939","adenylate kinase [EC:2.7.4.3]"
"K00941","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]"
"K00942","guanylate kinase [EC:2.7.4.8]"
"K00943","dTMP kinase [EC:2.7.4.9]"
"K00945","CMP/dCMP kinase [EC:2.7.4.25]"
"K00946","thiamine-monophosphate kinase [EC:2.7.4.16]"
"K00948","ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"
"K00950","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]"
"K00951","GTP pyrophosphokinase [EC:2.7.6.5]"
"K00954","pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]"
"K00963","UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"
"K00969","nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]"
"K00971","mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]"
"K00973","glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]"
"K00975","glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]"
"K00979","3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]"
"K00981","phosphatidate cytidylyltransferase [EC:2.7.7.41]"
"K00991","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]"
"K00995","CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]"
"K00997","holo-[acyl-carrier protein] synthase [EC:2.7.8.7]"
"K01000","phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]"
"K01069","hydroxyacylglutathione hydrolase [EC:3.1.2.6]"
"K01077","alkaline phosphatase [EC:3.1.3.1]"
"K01079","phosphoserine phosphatase [EC:3.1.3.3]"
"K01081","5-nucleotidase [EC:3.1.3.5]"
"K01091","phosphoglycolate phosphatase [EC:3.1.3.18]"
"K01092","myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]"
"K01119","2,3-cyclic-nucleotide 2-phosphodiesterase / 3-nucleotidase [EC:3.1.4.16 3.1.3.6]"
"K01126","glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]"
"K01129","dGTPase [EC:3.1.5.1]"
"K01176","alpha-amylase [EC:3.2.1.1]"
"K01186","sialidase-1 [EC:3.2.1.18]"
"K01187","alpha-glucosidase [EC:3.2.1.20]"
"K01190","beta-galactosidase [EC:3.2.1.23]"
"K01193","beta-fructofuranosidase [EC:3.2.1.26]"
"K01200","pullulanase [EC:3.2.1.41]"
"K01207","beta-N-acetylhexosaminidase [EC:3.2.1.52]"
"K01243","adenosylhomocysteine nucleosidase [EC:3.2.2.9]"
"K01256","aminopeptidase N [EC:3.4.11.2]"
"K01270","dipeptidase D [EC:3.4.13.-]"
"K01278","dipeptidyl-peptidase 4 [EC:3.4.14.5]"
"K01322","prolyl oligopeptidase [EC:3.4.21.26]"
"K01358","ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
"K01364","streptopain [EC:3.4.22.10]"
"K01424","L-asparaginase [EC:3.5.1.1]"
"K01438","acetylornithine deacetylase [EC:3.5.1.16]"
"K01439","succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]"
"K01448","N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
"K01465","dihydroorotase [EC:3.5.2.3]"
"K01489","cytidine deaminase [EC:3.5.4.5]"
"K01491","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]"
"K01495","GTP cyclohydrolase IA [EC:3.5.4.16]"
"K01515","ADP-ribose pyrophosphatase [EC:3.6.1.13]"
"K01520","dUTP pyrophosphatase [EC:3.6.1.23]"
"K01524","exopolyphosphatase / guanosine-5-triphosphate,3-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]"
"K01586","diaminopimelate decarboxylase [EC:4.1.1.20]"
"K01588","5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]"
"K01591","orotidine-5-phosphate decarboxylase [EC:4.1.1.23]"
"K01599","uroporphyrinogen decarboxylase [EC:4.1.1.37]"
"K01607","4-carboxymuconolactone decarboxylase [EC:4.1.1.44]"
"K01609","indole-3-glycerol phosphate synthase [EC:4.1.1.48]"
"K01613","phosphatidylserine decarboxylase [EC:4.1.1.65]"
"K01619","deoxyribose-phosphate aldolase [EC:4.1.2.4]"
"K01624","fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
"K01627","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]"
"K01633","7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]"
"K01649","2-isopropylmalate synthase [EC:2.3.3.13]"
"K01652","acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
"K01653","acetolactate synthase I/III small subunit [EC:2.2.1.6]"
"K01657","anthranilate synthase component I [EC:4.1.3.27]"
"K01658","anthranilate synthase component II [EC:4.1.3.27]"
"K01662","1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]"
"K01673","carbonic anhydrase [EC:4.2.1.1]"
"K01687","dihydroxy-acid dehydratase [EC:4.2.1.9]"
"K01689","enolase [EC:4.2.1.11]"
"K01695","tryptophan synthase alpha chain [EC:4.2.1.20]"
"K01696","tryptophan synthase beta chain [EC:4.2.1.20]"
"K01698","porphobilinogen synthase [EC:4.2.1.24]"
"K01703","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"
"K01704","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]"
"K01710","dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]"
"K01714","4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]"
"K01719","uroporphyrinogen-III synthase [EC:4.2.1.75]"
"K01733","threonine synthase [EC:4.2.3.1]"
"K01735","3-dehydroquinate synthase [EC:4.2.3.4]"
"K01736","chorismate synthase [EC:4.2.3.5]"
"K01738","cysteine synthase A [EC:2.5.1.47]"
"K01739","cystathionine gamma-synthase [EC:2.5.1.48]"
"K01740","O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]"
"K01744","aspartate ammonia-lyase [EC:4.3.1.1]"
"K01749","hydroxymethylbilane synthase [EC:2.5.1.61]"
"K01752","L-serine dehydratase [EC:4.3.1.17]"
"K01754","threonine dehydratase [EC:4.3.1.19]"
"K01756","adenylosuccinate lyase [EC:4.3.2.2]"
"K01759","lactoylglutathione lyase [EC:4.4.1.5]"
"K01768","adenylate cyclase [EC:4.6.1.1]"
"K01770","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]"
"K01772","protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]"
"K01775","alanine racemase [EC:5.1.1.1]"
"K01776","glutamate racemase [EC:5.1.1.3]"
"K01783","ribulose-phosphate 3-epimerase [EC:5.1.3.1]"
"K01784","UDP-glucose 4-epimerase [EC:5.1.3.2]"
"K01785","aldose 1-epimerase [EC:5.1.3.3]"
"K01790","dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]"
"K01791","UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]"
"K01803","triosephosphate isomerase (TIM) [EC:5.3.1.1]"
"K01808","ribose 5-phosphate isomerase B [EC:5.3.1.6]"
"K01809","mannose-6-phosphate isomerase [EC:5.3.1.8]"
"K01810","glucose-6-phosphate isomerase [EC:5.3.1.9]"
"K01814","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]"
"K01817","phosphoribosylanthranilate isomerase [EC:5.3.1.24]"
"K01834","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
"K01835","phosphoglucomutase [EC:5.4.2.2]"
"K01838","beta-phosphoglucomutase [EC:5.4.2.6]"
"K01840","phosphomannomutase [EC:5.4.2.8]"
"K01845","glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]"
"K01866","tyrosyl-tRNA synthetase [EC:6.1.1.1]"
"K01867","tryptophanyl-tRNA synthetase [EC:6.1.1.2]"
"K01868","threonyl-tRNA synthetase [EC:6.1.1.3]"
"K01869","leucyl-tRNA synthetase [EC:6.1.1.4]"
"K01870","isoleucyl-tRNA synthetase [EC:6.1.1.5]"
"K01872","alanyl-tRNA synthetase [EC:6.1.1.7]"
"K01873","valyl-tRNA synthetase [EC:6.1.1.9]"
"K01874","methionyl-tRNA synthetase [EC:6.1.1.10]"
"K01875","seryl-tRNA synthetase [EC:6.1.1.11]"
"K01876","aspartyl-tRNA synthetase [EC:6.1.1.12]"
"K01881","prolyl-tRNA synthetase [EC:6.1.1.15]"
"K01883","cysteinyl-tRNA synthetase [EC:6.1.1.16]"
"K01885","glutamyl-tRNA synthetase [EC:6.1.1.17]"
"K01887","arginyl-tRNA synthetase [EC:6.1.1.19]"
"K01889","phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]"
"K01890","phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]"
"K01892","histidyl-tRNA synthetase [EC:6.1.1.21]"
"K01897","long-chain acyl-CoA synthetase [EC:6.2.1.3]"
"K01911","O-succinylbenzoic acid---CoA ligase [EC:6.2.1.26]"
"K01915","glutamine synthetase [EC:6.3.1.2]"
"K01918","pantoate--beta-alanine ligase [EC:6.3.2.1]"
"K01921","D-alanine-D-alanine ligase [EC:6.3.2.4]"
"K01923","phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]"
"K01924","UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]"
"K01925","UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]"
"K01928","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]"
"K01929","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]"
"K01933","phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]"
"K01934","5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]"
"K01937","CTP synthase [EC:6.3.4.2]"
"K01938","formate--tetrahydrofolate ligase [EC:6.3.4.3]"
"K01939","adenylosuccinate synthase [EC:6.3.4.4]"
"K01945","phosphoribosylamine---glycine ligase [EC:6.3.4.13]"
"K01951","GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
"K01952","phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]"
"K01955","carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]"
"K01956","carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]"
"K01962","acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]"
"K01966","propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]"
"K01991","polysaccharide biosynthesis/export protein"
"K02010","iron(III) transport system ATP-binding protein [EC:3.6.3.30]"
"K02011","iron(III) transport system permease protein"
"K02012","iron(III) transport system substrate-binding protein"
"K02017","molybdate transport system ATP-binding protein [EC:3.6.3.29]"
"K02018","molybdate transport system permease protein"
"K02031","peptide/nickel transport system ATP-binding protein"
"K02032","peptide/nickel transport system ATP-binding protein"
"K02033","peptide/nickel transport system permease protein"
"K02034","peptide/nickel transport system permease protein"
"K02035","peptide/nickel transport system substrate-binding protein"
"K02071","D-methionine transport system ATP-binding protein"
"K02072","D-methionine transport system permease protein"
"K02073","D-methionine transport system substrate-binding protein"
"K02078","acyl carrier protein"
"K02108","F-type H+-transporting ATPase subunit a"
"K02109","F-type H+-transporting ATPase subunit b"
"K02110","F-type H+-transporting ATPase subunit c"
"K02111","F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]"
"K02112","F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]"
"K02113","F-type H+-transporting ATPase subunit delta"
"K02114","F-type H+-transporting ATPase subunit epsilon"
"K02115","F-type H+-transporting ATPase subunit gamma"
"K02226","alpha-ribazole phosphatase [EC:3.1.3.73]"
"K02313","chromosomal replication initiator protein"
"K02358","elongation factor Tu"
"K02372","3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]"
"K02433","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]"
"K02434","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]"
"K02435","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]"
