-2.11633,09K95A
-8.0144,0VM1CI
-4.19043,1RGWDX
3.76956,1T56G4
-4.03209,26QQrO
-4.30774,4XSG4Y
9.23886,5MKWBH
3.49627,6LVPX8
5.67529,9XELA5
8.11498,9XNMJT
-5.61062,DLODDN
-7.83685,DZVZH0
-3.33228,EPJUNL
19.3878,EUQG8X
-5.20253,F80LGF
-4.3142,F9HJUU
-1.30814,FMFSCB
-1.40311,G7E225
-12.4148,H6CSMA
-3.93041,I5N225
-13.2424,J1O0BL
2.33474,J3UYDR
-4.32296,JDWAOR
-3.21517,LYDUBY
5.58843,MKBDBY
-0.610786,N5IZ3L
8.47319,NDBDKD
5.00337,O3VQFQ
0.345899,QBC0SD
8.3806,T80OF8
-7.72626,U6GTOL
8.16135,UMKISW
0.188452,VSTPH2
11.1189,W5FDMV
-9.4369,XAD1I4
2.27257,XXN4TH
-1.83815,XYBF9C
9.07216,Y45ETC
-2.109,YP7H46
-12.9981,ZIBR7F
8.17533,ZP6YP4
