"0.084042","K00001","alcohol dehydrogenase [EC:1.1.1.1]"
"0.072339","K00003","homoserine dehydrogenase [EC:1.1.1.3]"
"0.058184","K00010","myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]"
"0.054386","K00012","UDPglucose 6-dehydrogenase [EC:1.1.1.22]"
"0.0088621","K00013","histidinol dehydrogenase [EC:1.1.1.23]"
"0.020738","K00014","shikimate dehydrogenase [EC:1.1.1.25]"
"0.070212","K00016","L-lactate dehydrogenase [EC:1.1.1.27]"
"0.038285","K00024","malate dehydrogenase [EC:1.1.1.37]"
"-0.020918","K00033","6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
"-0.022112","K00036","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
"0.024541","K00052","3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
"0.032083","K00053","ketol-acid reductoisomerase [EC:1.1.1.86]"
"-0.027077","K00057","glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]"
"0.0077135","K00058","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]"
"0.04763","K00059","3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
"0.043999","K00067","dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]"
"-0.03811","K00075","UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]"
"0.0862","K00088","IMP dehydrogenase [EC:1.1.1.205]"
"0.027939","K00099","1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]"
"-0.079599","K00133","aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]"
"0.043755","K00134","glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
"-0.024947","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]"
"-0.027785","K00215","4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]"
"0.057211","K00239","succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
"0.080319","K00240","succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
"0.083865","K00241","succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
"-0.055478","K00244","fumarate reductase flavoprotein subunit [EC:1.3.5.4]"
"-0.05909","K00262","glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
"0.014949","K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]"
"0.05077","K00287","dihydrofolate reductase [EC:1.5.1.3]"
"0.010414","K00297","methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]"
"0.056335","K00336","NADH-quinone oxidoreductase subunit G [EC:1.6.5.3]"
"0.057263","K00355","NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]"
"0.054115","K00368","nitrite reductase (NO-forming) [EC:1.7.2.1]"
"0.035974","K00382","dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
"-0.042589","K00384","thioredoxin reductase (NADPH) [EC:1.8.1.9]"
"-0.010071","K00525","ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]"
"0.0010364","K00526","ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]"
"-0.048454","K00548","5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]"
"-0.037258","K00549","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]"
"-0.072016","K00558","DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"
"-0.0084808","K00560","thymidylate synthase [EC:2.1.1.45]"
"-0.04841","K00566","tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]"
"0.030463","K00588","caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]"
"-0.024487","K00600","glycine hydroxymethyltransferase [EC:2.1.2.1]"
"-0.0019577","K00602","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]"
"-0.04498","K00604","methionyl-tRNA formyltransferase [EC:2.1.2.9]"
"0.0646","K00609","aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]"
"0.028798","K00611","ornithine carbamoyltransferase [EC:2.1.3.3]"
"-0.0021039","K00615","transketolase [EC:2.2.1.1]"
"0.037165","K00616","transaldolase [EC:2.2.1.2]"
"-0.035629","K00627","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
"-0.03998","K00640","serine O-acetyltransferase [EC:2.3.1.30]"
"-0.010485","K00641","homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]"
"-0.032004","K00645","[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]"
"-0.056332","K00647","3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]"
"-0.055221","K00648","3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]"
"0.010384","K00655","1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]"
"0.015396","K00656","formate C-acetyltransferase [EC:2.3.1.54]"
"0.031262","K00658","2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
"-0.011647","K00674","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
"-0.08299","K00688","glycogen phosphorylase [EC:2.4.1.1]"
"-0.019577","K00700","1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
"-0.057654","K00705","4-alpha-glucanotransferase [EC:2.4.1.25]"
"0.074519","K00721","dolichol-phosphate mannosyltransferase [EC:2.4.1.83]"
"-0.049662","K00759","adenine phosphoribosyltransferase [EC:2.4.2.7]"
"-0.027398","K00760","hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]"
"-0.05615","K00761","uracil phosphoribosyltransferase [EC:2.4.2.9]"
"-0.0021835","K00762","orotate phosphoribosyltransferase [EC:2.4.2.10]"
"0.070032","K00763","nicotinate phosphoribosyltransferase [EC:6.3.4.21]"
"-0.067385","K00764","amidophosphoribosyltransferase [EC:2.4.2.14]"
"0.035272","K00765","ATP phosphoribosyltransferase [EC:2.4.2.17]"
"0.028827","K00766","anthranilate phosphoribosyltransferase [EC:2.4.2.18]"
"0.037319","K00768","nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]"
"-0.026303","K00788","thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]"
"-0.050674","K00789","S-adenosylmethionine synthetase [EC:2.5.1.6]"
"-0.036373","K00790","UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]"
"-0.038017","K00791","tRNA dimethylallyltransferase [EC:2.5.1.75]"
"-0.040582","K00793","riboflavin synthase [EC:2.5.1.9]"
"-0.019924","K00794","6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"
"0.017482","K00796","dihydropteroate synthase [EC:2.5.1.15]"
"0.050461","K00797","spermidine synthase [EC:2.5.1.16]"
"-0.063784","K00799","glutathione S-transferase [EC:2.5.1.18]"
"-0.038166","K00800","3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]"
"-0.059459","K00806","undecaprenyl diphosphate synthase [EC:2.5.1.31]"
"0.077685","K00812","aspartate aminotransferase [EC:2.6.1.1]"
"0.048729","K00817","histidinol-phosphate aminotransferase [EC:2.6.1.9]"
"-0.008752","K00820","glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]"
"0.0029169","K00826","branched-chain amino acid aminotransferase [EC:2.6.1.42]"
"-0.040303","K00831","phosphoserine aminotransferase [EC:2.6.1.52]"
"0.024157","K00845","glucokinase [EC:2.7.1.2]"
"0.060563","K00847","fructokinase [EC:2.7.1.4]"
"0.0078362","K00849","galactokinase [EC:2.7.1.6]"
"-0.02515","K00850","6-phosphofructokinase 1 [EC:2.7.1.11]"
"0.072738","K00852","ribokinase [EC:2.7.1.15]"
"-0.063327","K00858","NAD+ kinase [EC:2.7.1.23]"
"-0.062029","K00859","dephospho-CoA kinase [EC:2.7.1.24]"
