-4.94754,09K95A
-7.10703,0VM1CI
-5.31574,1RGWDX
4.92464,1T56G4
-2.32238,26QQrO
-5.30189,4XSG4Y
10.167,5MKWBH
1.12538,6LVPX8
2.65549,9XELA5
10.479,9XNMJT
-6.07092,DLODDN
-8.45275,DZVZH0
-2.82474,EPJUNL
21.1009,EUQG8X
-3.79792,F80LGF
-2.74338,F9HJUU
-0.643223,FMFSCB
0.398951,G7E225
-14.6,H6CSMA
-5.80116,I5N225
-13.1639,J1O0BL
4.34208,J3UYDR
-5.81667,JDWAOR
-3.64065,LYDUBY
5.40651,MKBDBY
-1.21119,N5IZ3L
12.9121,NDBDKD
4.80422,O3VQFQ
1.82594,QBC0SD
8.71079,T80OF8
-10.4803,U6GTOL
8.18747,UMKISW
0.83256,VSTPH2
9.48839,W5FDMV
-9.88286,XAD1I4
-1.32078,XXN4TH
-1.8646,XYBF9C
9.1074,Y45ETC
1.06653,YP7H46
-13.5746,ZIBR7F
7.50638,ZP6YP4
